ID;VALOR_PARCELA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;VALOR_TOTAL;TOTAL_PARCELAS;PARCELAS_PAGAS;PARCELAS_NAO_PAGAS;VALOR_TTN_PAGO;VALOR_TT_PAGO
741;35,6;0;0;0;0;0;;;;;;;;;;;178;5;5;0;0;178
742;16,54;0;0;0;0;0;0;;;;;;;;;;99,24;6;6;0;0;99,24
743;113,23;0;0;0;0;0;0;;;;;;;;;;679,38;6;6;0;0;679,38
744;95;0;0;0;0;0;0;0;0;0;0;0;;;;;1045;11;11;0;0;1045
745;47,65;0;0;0;0;0;0;0;0;0;0;;;;;;476,5;10;10;0;0;476,5
746;18,9;0;0;0;0;0;0;;;;;;;;;;113,4;6;6;0;0;113,4
747;44,72;0;0;0;0;0;0;0;0;;;;;;;;357,76;8;8;0;0;357,76
748;58,5;0;0;;;;;;;;;;;;;;117;2;2;0;0;117
749;100,11;0;0;0;0;0;0;0;0;0;;;;;;;900,99;9;9;0;0;900,99
750;113,06;0;0;0;0;0;0;0;0;;;;;;;;904,48;8;8;0;0;904,48
751;90,52;0;0;0;0;0;0;;;;;;;;;;543,12;6;6;0;0;543,12
752;86,98;0;0;0;0;;;;;;;;;;;;347,92;4;4;0;0;347,92
753;116,09;0;0;0;0;0;0;;;;;;;;;;696,54;6;6;0;0;696,54
754;96,35;0;0;0;0;0;;;;;;;;;;;481,75;5;5;0;0;481,75
755;122,28;0;0;0;0;0;0;0;0;0;0;0;0;;;;1467,36;12;12;0;0;1467,36
756;212,44;0;0;0;;;;;;;;;;;;;637,32;3;3;0;0;637,32
757;55,65;0;;;;;;;;;;;;;;;55,65;1;1;0;0;55,65
758;94,33;0;0;0;0;0;0;0;0;0;0;;;;;;943,3;10;10;0;0;943,3
759;134,39;0;0;0;0;0;;;;;;;;;;;671,95;5;5;0;0;671,95
760;114,73;0;0;0;0;;;;;;;;;;;;458,92;4;4;0;0;458,92
761;78,78;0;0;0;0;0;;;;;;;;;;;393,9;5;5;0;0;393,9
762;6,66;0;0;0;0;0;0;;;;;;;;;;39,96;6;6;0;0;39,96
763;68,65;0;0;;;;;;;;;;;;;;137,3;2;2;0;0;137,3
764;39;0;0;;;;;;;;;;;;;;78;2;2;0;0;78
765;40,13;0;0;0;0;0;0;0;0;0;0;;;;;;401,3;10;10;0;0;401,3
766;55,05;0;0;0;0;0;0;;;;;;;;;;330,3;6;6;0;0;330,3
767;92,66;0;0;0;0;0;;;;;;;;;;;463,3;5;5;0;0;463,3
768;54,49;0;0;0;0;0;0;0;0;0;0;;;;;;544,9;10;10;0;0;544,9
769;279,6;0;0;1;1;1;1;1;1;1;1;1;1;;;;3355,2;12;2;10;2796;559,2
770;88,44;0;0;0;0;0;0;0;0;0;0;0;0;;;;1061,28;12;12;0;0;1061,28
771;117,51;0;0;0;0;0;0;;;;;;;;;;705,06;6;6;0;0;705,06
772;88,43;0;0;0;0;0;0;0;0;;;;;;;;707,44;8;8;0;0;707,44
773;97,9;0;;;;;;;;;;;;;;;97,9;1;1;0;0;97,9
774;91,29;0;0;0;0;0;0;0;0;0;0;;;;;;912,9;10;10;0;0;912,9
775;166,77;0;0;0;0;0;;;;;;;;;;;833,85;5;5;0;0;833,85
776;29,74;0;0;0;0;0;0;;;;;;;;;;178,44;6;6;0;0;178,44
777;124,48;0;0;0;0;0;0;;;;;;;;;;746,88;6;6;0;0;746,88
778;49,89;0;0;0;0;0;0;0;0;0;0;;;;;;498,9;10;10;0;0;498,9
779;13,82;0;0;0;0;0;0;;;;;;;;;;82,92;6;6;0;0;82,92
780;33,6;0;0;0;0;0;;;;;;;;;;;168;5;5;0;0;168
781;74,24;0;0;0;0;0;0;0;;;;;;;;;519,68;7;7;0;0;519,68
782;136,89;0;0;0;0;0;0;;;;;;;;;;821,34;6;6;0;0;821,34
783;37,66;0;0;0;0;0;0;;;;;;;;;;225,96;6;6;0;0;225,96
784;123,3;0;0;0;;;;;;;;;;;;;369,9;3;3;0;0;369,9
785;112,67;0;0;0;0;0;0;0;0;0;0;0;0;;;;1352,04;12;12;0;0;1352,04
786;55,36;0;0;0;0;0;0;0;0;0;0;;;;;;553,6;10;10;0;0;553,6
787;60,66;0;0;0;0;0;0;;;;;;;;;;363,96;6;6;0;0;363,96
